,apex_bull_raging,is_50_sma_above_200_sma,is_sma_50_upwards,apex_bull_appear,apex_bull_uptrend,apex_bear_raging,apex_bear_appear,apex_bear_downtrend
2021-09-30,116,False,False,114,90,104,98,104
2021-10-31,118,False,True,130,104,100,100,104
2021-11-30,122,True,True,112,104,142,100,96
2021-12-31,126,True,False,108,108,132,98,94
2022-01-31,98,False,False,128,88,138,98,86
2022-02-28,128,False,False,112,90,120,100,110
2022-03-31,132,False,False,138,98,104,98,96
2022-04-30,104,False,False,120,90,88,100,100
2022-05-31,106,True,True,114,92,126,100,82
2022-06-30,92,False,True,116,96,126,100,124
2022-07-31,110,True,False,106,96,90,100,92
2022-08-31,92,False,False,94,102,158,100,82
2022-09-30,132,True,True,116,94,126,98,112
2022-10-31,120,False,False,102,92,152,102,104
2022-11-30,92,True,False,126,100,118,98,100
2022-12-31,84,False,True,124,88,90,100,98
2023-01-31,108,False,False,116,88,90,100,98
2023-02-28,92,True,True,100,100,88,100,102
2023-03-31,104,False,False,86,104,114,102,94
2023-04-30,110,False,False,110,104,112,100,86
2023-05-31,108,False,False,74,98,90,100,90
2023-06-30,100,True,False,128,102,88,100,100
2023-07-31,80,False,False,92,98,124,100,110
2023-08-31,114,True,False,118,96,122,112,110
2023-09-30,106,True,False,90,106,114,100,92
2023-10-31,126,True,False,114,102,98,98,104
2023-11-30,118,True,False,80,90,126,104,82
2023-12-31,104,False,True,124,100,86,98,100
2024-01-31,114,True,False,112,90,84,96,82
2024-02-29,108,True,True,86,96,100,96,88
2024-03-31,138,False,False,112,98,106,98,96
